data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2023,51388276,,51
2023,51388277,,51
2023,51388333,,51
2023,50864907,,51
2023,50864901,,51
2023,50864902,,51
2023,55501094,,51
2023,51388263,,51
2023,51388264,,51
2023,51388265,,51
2023,50864906,,51
2023,51388255,,51
2023,51388285,,51
2023,51388290,,51
2023,51388298,,51
2023,51388299,,51
2023,51388294,,51
2023,51388297,,52
2023,51388301,,51
2023,52163749,,51
2023,52163750,,51
2023,52163751,,51
2023,51388307,,3
2023,51388307,,7
2023,52163698,,51
2023,52163716,,51
2023,52163721,,51
2023,52163727,,51
2023,52163699,,51
2023,53005518,,51
2023,53005545,,51
2023,53005490,,51
2023,51749041,,51
2023,52163724,,51
2023,52163730,,51
2023,52163735,,51
2023,52163752,,51
2023,52163753,,51
2023,52163764,,3
2023,53005496,,51
2023,53521947,,51
2023,53521950,,51
2023,53005505,,51
2023,53005534,,51
2023,53521954,,51
2023,53521958,,51
2023,53005540,,51
2023,53521961,,51
2023,53005510,,51
2023,53005514,,51
2023,53005515,,51
2023,53005516,,51
2023,53005517,,51
2023,53005522,,51
2023,53005528,,51
2023,53005536,,51
2023,53521986,,51
2023,54832785,,51
2023,53005544,,51
2023,54832867,,52
2023,54832868,,51
2023,54832878,,51
2023,54832879,,51
2023,54832746,,51
2023,54832747,,51
2023,54832788,,51
2023,53005551,,51
2023,57148658,,51
2023,53005503,,51
2023,53005504,,51
2023,53521992,,51
2023,53521999,,51
2023,54832797,,51
2023,53521972,,51
2023,53521975,,51
2023,53938561,,51
2023,53938491,,51
2023,53521953,,51
2023,53938496,,51
2023,53521955,,51
2023,53938506,,51
2023,54832754,,51
2023,54832755,,51
2023,54832756,,51
2023,53938511,,51
2023,54832764,,51
2023,53938527,,51
2023,53938519,,51
2023,53938533,,51
2023,53938537,,51
2023,57148732,,51
2023,57148733,,51
2023,53938559,,51
2023,53938495,,51
2023,53938501,,51
2023,54832775,,51
2023,54832782,,51
2023,53938508,,51
2023,54832792,,51
2023,53938513,,51
2023,53938560,,51
2023,53938563,,51
2023,53938564,,51
2023,53938497,,51
2023,53938518,,52
2023,53938546,,51
2023,53938502,,51
2023,54832812,,51
2023,54832824,,51
2023,54832804,,51
2023,54832807,,51
2023,57148764,,5
2023,54832815,,51
2023,54832826,,51
2023,55501067,,51
2023,57148656,,51
2023,54832760,,51
2023,54832767,,51
2023,54832776,,51
2023,54832777,,51
2023,54832786,,52
2023,54832794,,51
2023,54832795,,52
2023,54832799,,51
2023,54832809,,51
2023,54832810,,51
2023,57148662,,51
2023,54832818,,51
2023,54832835,,51
2023,55501086,,51
2023,55501101,,51
2023,55501102,,51
2023,57148701,,51
2023,57148714,,51
2023,54832843,,51
2023,54832844,,52
2023,54832853,,51
2023,54832854,,52
2023,54832765,,51
2023,57148730,,51
2023,55501116,,51
2023,54832851,,52
2023,55501133,,51
2023,55501134,,51
2023,55501150,,51
2023,55501158,,51
2023,54832860,,51
2023,55501136,,51
2023,55501169,,53
2023,55501180,,52
2023,55501074,,51
2023,55501081,,9
2023,55501093,,51
2023,55501106,,51
2023,55990243,,51
2023,55990256,,51
2023,55990317,,51
2023,55501129,,51
2023,55501130,,51
2023,55990339,,51
2023,55990360,,51
2023,55990274,,51
2023,57415962,,51
2023,55990287,,51
2023,55990305,,51
2023,55990321,,51
2023,55990337,,51
2023,55990348,,3
2023,57148834,,51
2023,57148753,,51
2023,55984113,,51
2023,55984114,,51
2023,55984130,,51
2023,55984135,,51
2023,55984157,,51
2023,55984160,,51
2023,55984123,,51
2023,55984131,,51
2023,55984138,,51
2023,55984141,,51
2023,55984152,,51
2023,56640136,,51
2023,56640138,,51
2023,56640141,,51
2023,56640129,,51
2023,50859862,,51
2023,50861570,,51
2023,50861573,,51
2023,50861577,,51
2023,50861585,,51
2023,52160861,,51
2023,52160866,,51
2023,52645902,,51
2023,53008909,,51
2023,53517891,,53
2023,54828470,,53
2023,54828496,,51
2023,54828501,,51
2023,54828502,,51
2023,55987096,,51
2023,56642878,,52
2023,50390039,,51
2023,50865313,,51
2023,50865318,,51
2023,50865320,,51
2023,50865326,,53
2023,50865330,,51
2023,50865336,,51
2023,51749900,,51
2023,51749911,,51
2023,51749884,,51
2023,51749882,,51
2023,52164294,,51
2023,52164303,,51
2023,52164305,,51
2023,52164311,,51
2023,52164323,,51
2023,52164328,,51
2023,52644774,,51
2023,52644781,,51
2023,52644786,,3
2023,53007410,,51
2023,53007417,,51
2023,53007424,,51
2023,53007453,,51
2023,53007353,,51
2023,53522573,,51
2023,53522574,,51
2023,53522584,,51
2023,53522587,,51
2023,53522594,,51
2023,53522545,,51
2023,53522503,,51
2023,53522520,,51
2023,53939093,,51
2023,53939097,,51
2023,53939105,,51
2023,53939098,,51
2023,53939108,,51
2023,53939111,,51
2023,53939115,,51
2023,54833358,,51
2023,54833367,,51
2023,54833285,,51
2023,54833292,,51
2023,54833305,,51
2023,54833314,,51
2023,54833344,,3
2023,55501888,,51
2023,55501806,,51
2023,55501815,,3
2023,55501837,,51
2023,55501850,,51
2023,55501861,,51
2023,55501893,,51
2023,55501904,,51
2023,55991011,,51
2023,55991012,,51
2023,55991044,,51
