data_year,criminal_act_id,offense_id
2023,9,209016341
2023,6,209016350
2023,6,209016351
2023,6,209016352
2023,6,209016478
2023,8,209016362
2023,9,209016375
2023,6,209016421
2023,6,209016507
2023,6,209016508
2023,9,209016565
2023,9,209016611
2023,9,209016636
2023,3,209016802
2023,6,209016802
2023,6,209016683
2023,6,209016698
2023,6,209016723
2023,6,209016724
2023,6,209016791
2023,6,209016814
2023,6,209016815
2023,6,209016816
2023,9,209016852
2023,9,209016935
2023,9,209016844
2023,8,210974402
2023,6,210974232
2023,6,210974358
2023,6,210974359
2023,6,210974384
2023,2,210974321
2023,9,210974497
2023,9,210974353
2023,1,210974355
2023,1,210974392
2023,1,210974393
2023,8,210974394
2023,8,210974395
2023,6,210974324
2023,4,210974524
2023,6,210974546
2023,8,210974633
2023,6,212631730
2023,6,212631741
2023,6,212631801
2023,9,212631919
2023,6,212631759
2023,6,212631774
2023,9,212631797
2023,6,212631809
2023,6,212631823
2023,9,212631830
2023,6,212631835
2023,9,215168202
2023,9,215168241
2023,9,215168267
2023,10,215168246
2023,6,215168275
2023,6,215168359
2023,6,215168360
2023,6,215168361
2023,9,215168400
2023,9,215168319
2023,9,217029286
2023,6,217029350
2023,6,217029409
2023,10,217029103
2023,6,217029465
2023,6,217029129
2023,1,217029241
2023,9,217029308
2023,9,217029512
2023,6,217029340
2023,2,217029424
2023,6,217029451
2023,6,217029452
2023,6,217029431
2023,3,217029475
2023,9,218882664
2023,9,218882665
2023,6,218882668
2023,6,218882669
2023,9,218882698
2023,9,218882877
2023,6,218882694
2023,6,218882711
2023,6,218882712
2023,9,218882742
2023,9,218882983
2023,6,218882836
2023,6,218883015
2023,9,218882861
2023,6,202591251
2023,1,202591274
2023,1,212612480
2023,1,212612502
2023,6,215154509
2023,9,198637300
2023,9,198637462
2023,9,198637152
2023,6,204077012
2023,9,204076896
2023,6,205725122
2023,6,205725136
2023,9,205724485
2023,9,205724501
2023,9,205724601
2023,9,205724620
2023,9,205724666
2023,9,205724512
2023,9,205724533
2023,9,205724559
2023,6,205724572
2023,6,205724556
2023,9,205724614
2023,9,205724685
2023,9,209019608
2023,9,205724578
2023,6,209019633
2023,9,205724644
2023,9,205724665
2023,6,209019029
2023,9,205724732
2023,9,205724749
2023,9,205724762
2023,9,209019259
2023,9,209019131
2023,9,209019216
2023,9,209019068
2023,6,209019316
2023,6,209019317
2023,9,209019344
2023,6,210975584
2023,9,210975624
2023,9,210975647
2023,9,210975713
2023,9,210975751
2023,6,210975752
2023,9,210975448
2023,6,210975513
2023,6,210975559
2023,9,210975612
2023,9,210975717
2023,8,210975806
2023,8,210975811
2023,6,210975462
2023,6,210975463
2023,6,210975464
2023,12,210975520
2023,5,210975598
2023,9,210975631
2023,9,210975807
2023,8,210975514
2023,6,210975515
2023,9,210975627
2023,6,210975708
2023,6,210975742
2023,9,210975492
2023,6,210975494
2023,6,210975521
2023,6,210975522
2023,6,210975569
2023,9,210975601
2023,9,215170591
2023,12,215170706
2023,9,215170784
2023,6,215170795
2023,6,215170796
2023,6,215170863
2023,6,215170864
2023,6,215170481
2023,9,215170540
2023,9,215170687
2023,6,215170761
2023,6,215170762
2023,9,215170824
2023,9,217031651
2023,9,217031395
2023,6,217031398
2023,9,217031420
2023,5,217031421
2023,12,217031422
2023,9,217031456
2023,12,217031491
2023,9,217031523
2023,8,217031508
2023,6,200599468
2023,9,200599441
2023,6,202606747
2023,8,202606748
2023,6,202606776
2023,6,202606777
2023,6,202606787
2023,6,202606788
2023,9,202606803
2023,6,205727290
2023,6,205727291
2023,8,205727327
2023,6,205727374
2023,9,205727407
2023,9,205727439
2023,6,205727483
2023,6,205727489
2023,6,209024374
2023,6,209024443
2023,6,209024471
2023,1,209024183
2023,6,209024273
2023,6,209024278
2023,6,210975950
2023,9,210975995
2023,6,210976063
2023,8,210976143
2023,9,210975895
